seq,is_true,is_ignore,path,x0,x1,y0,y1,col
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
,True,True,/data/crops/my_crop_unique_name.probably_containing_the original_image_name+somthing_unique,1,2,3,4,r
